City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,enewetak,11.3474,162.3373,28.47,75,93,2.57,MH,1728582537
180,ribeira grande,38.5167,-28.7,22.1,83,75,10.8,PT,1728582538
181,shadegan,30.6497,48.6647,32.55,11,0,2.24,IR,1728582540
182,venice,27.0998,-82.4543,26.13,71,91,8.46,US,1728582541
183,tual,-5.6667,132.75,27.38,84,82,7.14,ID,1728582542
184,puerto ayora,-0.7393,-90.3518,21.97,92,79,4.02,EC,1728582543
185,jayapura,-2.5333,140.7,23.66,93,66,2.0,ID,1728582544
186,inhambane,-23.865,35.3833,21.99,73,0,0.0,MZ,1728582545
187,fuerte olimpo,-21.0415,-57.8738,34.66,39,100,3.6,PY,1728582311
188,fort st. john,56.2499,-120.8529,4.94,60,20,6.69,CA,1728582464
189,nemuro,43.3236,145.575,12.22,73,100,11.01,JP,1728582550
190,ingeniero jacobacci,-41.3427,-69.5448,18.57,31,100,11.78,AR,1728582551
191,fale old settlement,-9.3852,-171.2468,27.55,79,51,5.17,TK,1728582552
192,moapa valley,36.5805,-114.4703,31.47,11,35,0.59,US,1728582553
193,igarka,67.4667,86.5833,-5.47,93,98,6.68,RU,1728582554
194,puerto carreno,6.189,-67.4859,32.99,62,20,2.06,CO,1728582555
195,alice springs,-23.7,133.8833,16.75,27,45,2.57,AU,1728582370
196,portland,45.5234,-122.6762,13.88,82,75,2.06,US,1728582542
197,cuttack,20.465,85.8793,27.1,88,12,2.02,IN,1728582558
198,gadzhiyevo,69.2551,33.3362,3.39,80,100,9.95,RU,1728582559
199,mapimi,25.8167,-103.85,25.39,30,8,3.51,MX,1728582560
200,rodino,52.5,80.25,6.32,49,100,7.1,RU,1728582562
201,katabu,-4.9333,122.5167,24.0,94,88,1.69,ID,1728582563
202,entebbe,0.0644,32.4469,22.18,78,20,2.06,UG,1728582564
203,xilin hot,43.9667,116.0333,7.92,52,0,6.1,CN,1728582565
204,uitenhage,-33.7576,25.3971,16.46,76,94,5.81,ZA,1728582566
205,sigli,5.3848,95.9609,26.43,80,100,2.62,ID,1728582567
206,changji,44.0167,87.3167,15.44,36,0,4.0,CN,1728582568
207,port mathurin,-19.6833,63.4167,22.63,83,100,10.36,MU,1728582570
208,tamanrasset,22.785,5.5228,29.95,17,40,3.6,DZ,1728582571
209,tofol,5.3248,163.0078,28.3,73,82,3.73,FM,1728582572
210,shahin dezh,36.6793,46.5669,18.58,28,3,2.83,IR,1728582573
211,mounana,-1.4085,13.1586,23.02,88,67,0.72,GA,1728582574
212,big spring,32.2504,-101.4787,31.8,27,0,6.69,US,1728582575
213,smithers,54.7804,-127.1743,1.18,100,75,2.57,CA,1728582576
214,aykhal,66.0,111.5,-12.15,98,100,1.09,RU,1728582291
215,huilong,31.8111,121.655,16.39,75,80,2.72,CN,1728582578
216,punta arenas,-53.15,-70.9167,8.06,71,40,9.77,CL,1728582579
217,awjilah,29.1081,21.2869,31.25,21,1,2.32,LY,1728582580
218,howrah,22.5892,88.3103,28.0,83,40,2.06,IN,1728582581
219,tolanaro,-25.0319,46.9987,23.04,78,20,9.77,MG,1728582295
220,tamiahua,21.2667,-97.45,28.11,63,100,3.61,MX,1728582584
221,murun-kuren,49.6342,100.1625,4.43,63,37,1.63,MN,1728582585
222,ta`u,-14.2336,-169.5144,27.22,77,77,8.11,AS,1728582587
223,monze,-16.2833,27.4833,21.25,21,0,1.2,ZM,1728582588
224,motygino,58.1831,94.7592,-4.8,82,60,2.59,RU,1728582589
225,kilosa,-6.8333,36.9833,25.23,56,100,1.08,TZ,1728582590
226,callao,-12.0667,-77.15,19.16,77,100,2.57,PE,1728582437
227,boshan,36.4833,117.8333,12.78,40,0,1.5,CN,1728582593
228,urengoy,65.9667,78.3667,-3.86,91,82,7.04,RU,1728582595
229,livingstonia,-10.606,34.1063,18.43,79,67,1.94,MW,1728582597
